ScientificName
Elephantopus carolinianus
Erechtites hieraciifolius
Erigeron annuus
Erigeron philadelphicus
Erigeron pulchellus
Erigeron strigosus
Eupatorium album
Eupatorium altissimum
Eupatorium hyssopifolium
Eupatorium perfoliatum
Eupatorium rotundifolium
Eupatorium serotinum
Eupatorium sessilifolium
Eurybia furcata
Eurybia macrophylla
Eurybia schreberi
Euthamia caroliniana
Euthamia graminifolia
Euthamia gymnospermoides
Eutrochium fistulosum
Eutrochium maculatum
Eutrochium purpureum
Fleischmannia incarnata
Gaillardia pulchella
Galinsoga parviflora
Galinsoga quadriradiata
Gamochaeta purpurea
Gnaphalium uliginosum
Grindelia ciliata
Grindelia squarrosa
Hasteola suaveolens
Helenium amarum
Helenium autumnale
Helenium flexuosum
Helianthus angustifolius
Helianthus annuus
Helianthus decapetalus
Helianthus divaricatus
Helianthus giganteus
Helianthus grosseserratus
Helianthus hirsutus
Helianthus maximiliani
Helianthus microcephalus
Helianthus mollis
Helianthus occidentalis
Helianthus pauciflorus
Helianthus petiolaris
Helianthus strumosus
Helianthus tuberosus
Heliopsis helianthoides
Heterotheca camporum
Heterotheca subaxillaris
Heterotheca villosa
Hieracium aurantiacum
Hieracium caespitosum
Hieracium gronovii
Hieracium longipilum
Hieracium paniculatum
Hieracium piloselloides
Hieracium scabrum
Hieracium umbellatum
Hieracium venosum
Hymenopappus scabiosaeus
Hypochaeris radicata
Inula helenium
Ionactis linariifolia
Iva annua
Krigia biflora
Krigia cespitosa
Krigia dandelion
Krigia virginica
Lactuca biennis
Lactuca canadensis
Lactuca floridana
Lactuca hirsuta
Lactuca ludoviciana
Lactuca saligna
Lactuca sativa
Lactuca serriola
Lapsana communis
Leontodon saxatilis
Leucanthemum vulgare
Liatris aspera
Liatris cylindracea
Liatris pycnostachya
Liatris scariosa
Liatris spicata
Liatris squarrosa
Liatris squarrulosa
Madia sativa
Matricaria chamomilla
Matricaria discoidea
Mikania scandens
Nabalus albus
Nabalus altissimus
Nabalus asper
Nabalus crepidineus
Nabalus racemosus
Nabalus trifoliolatus
Onopordum acanthium
Packera aurea
Packera glabella
Packera obovata
Packera paupercula
Packera plattensis
Packera pseudaurea
Parthenium integrifolium
Pluchea camphorata
Pluchea odorata
Polymnia canadensis
Pseudognaphalium macounii
Pseudognaphalium obtusifolium
Pyrrhopappus carolinianus
Ratibida columnifera
Ratibida pinnata
Rudbeckia fulgida
Rudbeckia hirta
Rudbeckia laciniata
Rudbeckia subtomentosa
Rudbeckia triloba
Senecio vulgaris
Sericocarpus linifolius
Silphium asteriscus
Silphium integrifolium
Silphium laciniatum
Silphium perfoliatum
Silphium terebinthinaceum
Silybum marianum
Smallanthus uvedalius
Solidago altissima
Solidago bicolor
Solidago buckleyi
Solidago caesia
Solidago canadensis
Solidago erecta
Solidago flexicaulis
Solidago gigantea
Solidago hispida
Solidago juncea
Solidago missouriensis
Solidago nemoralis
Solidago ohioensis
Solidago patula
Solidago ptarmicoides
Solidago riddellii
Solidago rigida
Solidago rigidiuscula
Solidago rugosa
Solidago sempervirens
Solidago shortii
Solidago simplex
Solidago speciosa
Solidago sphacelata
Solidago squarrosa
Solidago uliginosa
Solidago ulmifolia
Sonchus arvensis
Sonchus asper
Sonchus oleraceus
Symphyotrichum boreale
Symphyotrichum ciliatum
Symphyotrichum cordifolium
Symphyotrichum drummondii
Symphyotrichum dumosum
Symphyotrichum ericoides
Symphyotrichum firmum
Symphyotrichum laeve
Symphyotrichum lanceolatum
Symphyotrichum lateriflorum
