Scientific.Name,native
Croton monanthogynus,non-native
Cruciata pedemontanum (=galium pedemontanum),non-native
Crypsis schoenoides,non-native
Cucurbita foetidissima,non-native
Cucurbita pepo var. ovifera,non-native
Cuscuta obtusiflora var. glandulosa,non-native
Cycalchaena xanthiifolia,non-native
Cymbalaria muralis,non-native
Cynanchum louiseae,non-native
Cynanchum vincetoxicum,non-native
Cynodon dactylon,non-native
Cynoglossum officinale,non-native
Cynosurus cristatus,non-native
Cyperus difformis,non-native
Cyperus fuscus,non-native
Cyperus iria,non-native
Cyperus microiria,non-native
Cyperus nipponicus,non-native
Cyrtomium fortunei,non-native
Dactylis glomerata,non-native
Dalea leporina,non-native
Datura stramonium,non-native
Datura wrightii,non-native
Daucus carota,non-native
Descurainia pinnata subsp. brachycarpa,non-native
Descurainia sophia,non-native
Dianthus armeria subsp. armeria,non-native
Dianthus barbatus,non-native
Dianthus plumarius,non-native
Dicentra spectabilis,non-native
Digitalis lanata,non-native
Digitaria ciliaris,non-native
Digitaria ischaemum,non-native
Digitaria sanguinalis,non-native
Dioscorea polystachya,non-native
Diplachne fusca (including 1 subspecies),non-native
Diplotaxis muralis,non-native
Diplotaxis tenuifolia,non-native
Dipsacus fullonum,non-native
Dipsacus laciniatus,non-native
Draba verna,non-native
Dracocephalum parviflorum,non-native
Duchesnea indica,non-native
Dysphania ambrosioides (=chenopodium ambrosioides),non-native
Dysphania anthelmintica,non-native
Dysphania botrys (=chenopodium botrys),non-native
Dyssodia papposa,non-native
Echinochloa crus-galli,non-native
Echinops sphaerocephalus,non-native
Echium pustulatum,non-native
Echium vulgare,non-native
Egeria densa,non-native
Eichhornia crassipes,non-native
Elaeagnus angustifolia,non-native
Elaeagnus umbellata,non-native
Eleusine indica,non-native
Eleutherococcus sieboldianus,non-native
Elymus repens (=agropyron repens),non-native
Epilobium hirsutum,non-native
Epipactis helleborine,non-native
Eragrostis cilianensis,non-native
Eragrostis mexicana subsp. mexicana,non-native
Eragrostis minor,non-native
Eragrostis trichodes,non-native
Eranthis hyemalis,non-native
Eriochloa contracta,non-native
Eriogonum annuum,non-native
Erodium cicutarium,non-native
Erucastrum gallicum,non-native
Erysimum cheiranthoides,non-native
Erysimum hieraciifolium,non-native
Erysimum inconspicuum,non-native
Erysimum repandum,non-native
Eucommia ulmoides,non-native
Euonymus alata,non-native
Euonymus bungeana,non-native
Euonymus fortunei,non-native
Euonymus hamiltonianus,non-native
Euonymus japonicus,non-native
Euphorbia cyparissias,non-native
Euphorbia davidii,non-native
Euphorbia marginata,non-native
Euphorbia peplus,non-native
Euphorbia prostrata,non-native
Euphorbia virgata,non-native
Euphorbia x pseudoesula,non-native
Fagopyrum esculentum,non-native
Fallopia convolvulus,non-native
Fallopia dumetorum,non-native
Fatoua villosa,non-native
Festuca filiformis,non-native
Festuca ovina,non-native
Festuca rubra subsp. rubra,non-native
Festuca trachyphylla,non-native
Ficus carica,non-native
Filipendula ulmaria,non-native
Flaveria campestris,non-native
Foeniculum vulgare,non-native
Forsythia suspensa,non-native
Forsythia x intermedia,non-native
Frangula alnus (=rhamnus frangula),non-native
Froelichia gracilis,non-native
Fumaria officinalis,non-native
Gaillardia aristata,non-native
Gaillardia pulchella,non-native
Galanthus nivalis,non-native
Galeopsis ladanum,non-native
Galinsoga parviflora var. parviflora,non-native
Galinsoga quadriradiata,non-native
Galium anglicum,non-native
Galium divaricatum,non-native
Galium mollugo,non-native
Galium odoratum,non-native
Galium verum,non-native
Geranium aequale,non-native
Geranium columbinum,non-native
Geranium pusillum,non-native
Geranium sanguineum,non-native
Glandularia bipinnatifida (=verbena bipinnatifida),non-native
Glandularia canadensis,non-native
Glechoma hederacea,non-native
Glycine max,non-native
Glycyrrhiza lepidota,non-native
Gnaphalium uliginosum,non-native
Grindelia ciliata,non-native
Grindelia squarrosa,non-native
Gypsophila paniculata,non-native
Gypsophila scorzonerifolia,non-native
Hedera helix,non-native
Helianthus annuus,non-native
Helianthus maximilianii,non-native
Helianthus petiolaris subsp. petiolaris,non-native
Heliotropium indicum,non-native
Helleborus viridis,non-native
Hemerocallis fulva,non-native
Hemerocallis lilioasphodelus,non-native
Heracleum mantegazzianum,non-native
Hesperis matronalis,non-native
Hesperostipa comata subsp. comata (=stipa comata),non-native
Heterotheca camporum var. glandulissima,non-native
Heterotheca subaxillaris subsp. latifolia,non-native
Heterotheca villosa var. villosa,non-native
Hibiscus syriacus,non-native
Hibiscus trionum,non-native
Hieracium aurantiacum,non-native
Hieracium caespitosum,non-native
Hieracium piloselloides,non-native
Holcus lanatus,non-native
Holosteum umbellatum subsp. umbellatum,non-native
Hordeum brachyantherum,non-native
Hordeum jubatum subsp. jubatum,non-native
Hordeum vulgare,non-native
Hosta ventricosa,non-native
Houstonia pusilla,non-native
Houttuynia cordata,non-native
Humulus japonicus,non-native
Humulus lupulus var. lupulus,non-native
Hyacinthoides nonscripta (=scilla nonscripta),non-native
Hydrangea paniculata,non-native
Hydrangea quercifolia,non-native
Hydrilla verticillata,non-native
Hydrocotyle sibthorpioides,non-native
Hylotelephium erythrostictum,non-native
Hylotelephium spectabile,non-native
Hylotelephium telephium,non-native
Hyoscyamus niger,non-native
Hypericum perforatum,non-native
Hypochaeris radicata,non-native
Ilex opaca var. opaca,non-native
Impatiens glandulifera,non-native
Inula helenium,non-native
Ipomoea coccinea,non-native
Ipomoea hederacea,non-native
Ipomoea purpurea,non-native
Ipomopsis rubra,non-native
Iris germanica,non-native
Iris pseudacorus,non-native
Iris pumila,non-native
Iva xanthifolia,non-native
Juncus compressus,non-native
Juncus gerardii,non-native
Kerria japonica,non-native
Kickxia elatine,non-native
Koelreuteria paniculata,non-native
Kummerowia stipulacea (=lespedeza stipulacea),non-native
Kummerowia striata,non-native
Kyllinga gracillima,non-native
Lactuca saligna,non-native
Lactuca sativa,non-native
Lactuca serriola,non-native
Lactuca tatarica var. pulchellum,non-native
Lagerstroemia indica,non-native
Lamium amplexicaule,non-native
Lamium purpureum,non-native
Lamprocapnos spectabilis,non-native
Lappula squarrosa,non-native
Lapsana communis,non-native
Lathyrus latifolius,non-native
Lathyrus odoratus,non-native
Lathyrus sylvestris,non-native
Lathyrus tuberosus,non-native
Lens culinaris,non-native
Leontodon saxatilis,non-native
Leonurus cardiaca,non-native
Leonurus japonicus,non-native
Lepidium campestre,non-native
Lepidium densiflorum,non-native
Lepidium didymum,non-native
Lepidium latifolium,non-native
Lepidium perfoliatum,non-native
Lepidium ruderale,non-native
Lespedeza bicolor,non-native
Lespedeza cuneata,non-native
Lespedeza thunbergii,non-native
Leucanthemum vulgare (=chrysanthemum leucanthemum),non-native
Leucojum aestivum,non-native
Leymus arenarius,non-native
Ligustrum obtusifolium,non-native
Ligustrum ovalifolium,non-native
Ligustrum vulgare,non-native
Lilium lancifolium,non-native
Linaria dalmatica subsp. macedonica,non-native
Linaria repens,non-native
Linaria vulgaris,non-native
Linum perenne,non-native
Linum usitatissimum,non-native
Lithospermum officinale,non-native
Lobularia maritima,non-native
Lolium multiflorum,non-native
Lolium perenne,non-native
Lonicera japonica,non-native
Lonicera maackii,non-native
Lonicera morrowii,non-native
Lonicera ruprechtiana,non-native
Lonicera sempervirens,non-native
Lonicera tatarica,non-native
Lonicera x bella,non-native
Lonicera xylosteum,non-native
Lotus corniculatus,non-native
Lotus tenuis,non-native
Lotus unifoliolatus,non-native
Ludwigia leptocarpa,non-native
Lunaria annua,non-native
Lycium barbarum,non-native
Lycium chinense,non-native
Lycopus asper,non-native
Lycopus europaeus,non-native
Lygodesmia juncea,non-native
Lysimachia arvensis (=anagallis arvensis),non-native
Lysimachia clethroides,non-native
Lysimachia nummularia,non-native
Lysimachia punctata,non-native
Lysimachia vulgaris,non-native
Lythrum salicaria,non-native
Macleaya cordata,non-native
Maclura pomifera,non-native
Madia sativa,non-native
Malus baccata,non-native
Malus pumila,non-native
Malus soulardii,non-native
Malva alcea,non-native
Malva moschata,non-native
Malva neglecta,non-native
Malva pusilla,non-native
Malva sylvestris,non-native
Malva verticillata,non-native
Marrubium vulgare,non-native
Marsilea quadrifolia,non-native
Matricaria chamomilla,non-native
Matricaria discoidea,non-native
Mazus pumilus,non-native
Medicago lupulina,non-native
Medicago sativa (including subspecies),non-native
Melilotus altissimus,non-native
Melilotus officinalis,non-native
Melissa officinalis,non-native
Mentha aquatica,non-native
Mentha longifolia subsp. longifolia,non-native
Mentha spicata,non-native
Mentha suaveolens,non-native
Mentha x gracilis,non-native
Mentha x piperita,non-native
Mentha x rotundifolia,non-native
Mentha x villosa,non-native
Mentzelia decapetala,non-native
Microstegium vimineum,non-native
Microthlaspi perfoliatum (=thlaspi perfoliatum),non-native
Mirabilis albida,non-native
Mirabilis jalapa var. jalapa,non-native
Mirabilis linearis var. linearis,non-native
Mirabilis nyctaginea,non-native
Miscanthus sinensis,non-native
Mollugo verticillata,non-native
Monarda didyma,non-native
Monarda media,non-native
Monolepis nuttalliana,non-native
Morus alba,non-native
Mosla dianthera,non-native
Muhlenbergia asperifolia,non-native
Muhlenbergia racemosa,non-native
Muscari botryoides,non-native
Muscari neglectum,non-native
Myosotis arvensis,non-native
Myosotis scorpioides,non-native
Myosotis stricta,non-native
Myosoton aquaticum,non-native
Myriophyllum aquaticum,non-native
Myriophyllum spicatum,non-native
Najas marina,non-native
Najas minor,non-native
Narcissus poeticus,non-native
Narcissus pseudonarcissus,non-native
Narcissus x incomparabilis,non-native
Narcissus x medioluteus,non-native
Nasurtium microphyllum (=rorippa microphylla),non-native
Nasurtium officinale (=rorippa nasturtium-aquaticum),non-native
Nepeta cataria,non-native
Neslia paniculata,non-native
Nicandra physalodes,non-native
Nicotiana longiflora,non-native
Nigella damascena,non-native
Nymphoides peltata,non-native
Oenanthe javanica,non-native
Oenothera curtiflora,non-native
Oenothera glaucifolia,non-native
Oenothera glazioviana,non-native
Oenothera grandis,non-native
Oenothera serrulata,non-native
Oenothera speciosa,non-native
Oenothera suffrutescens,non-native
Onopordum acanthium subsp. acanthium,non-native
Origanum vulgare,non-native
Ornithogalum nutans,non-native
Ornithogalum umbellatum,non-native
Oxalis corniculata,non-native
Pachysandra terminalis,non-native
Panicum miliaceum,non-native
Papaver dubium,non-native
Papaver orientale,non-native
Papaver rhoeas,non-native
Parthenocissus tricuspidata,non-native
Pascopyrum smithii (=agropyron smithii),non-native
Pastinaca sativa,non-native
Paulownia tomentosa,non-native
Pediomelum tenuiflorum,non-native
Pennisetum alopecuroides,non-native
Penstemon cobaea,non-native
Penstemon gracilis,non-native
Penstemon grandiflorus,non-native
Perilla frutescens,non-native
Peritoma serrulata,non-native
Persicaria hydropiper,non-native
Persicaria longiseta,non-native
Persicaria maculosa,non-native
Persicaria minor,non-native
Persicaria orientalis,non-native
Persicaria perfoliata,non-native
Petunia integrifolia,non-native
Petunia x atkinsiana,non-native
Phalaris arundinacea,non-native
Phalaris canariensis,non-native
Phedimus spurius,non-native
Philadelphus coronarius,non-native
Philadelphus inodorus,non-native
Philadelphus pubescens,non-native
Phleum pratense,non-native
Phlox subulata,non-native
Phragmites australis subsp. australis,non-native
Phyla cuneifolia,non-native
Physalis hispida,non-native
Physalis peruviana,non-native
Physalis philadelphica var. immaculata,non-native
Picea abies,non-native
Pimpinella saxifraga,non-native
Pinus echinata,non-native
Pinus resinosa,non-native
Pinus rigida,non-native
Pinus sylvestris,non-native
Pistia stratiotes,non-native
Plantago arenaria,non-native
Plantago lanceolata,non-native
Plantago major,non-native
Plantago patagonica,non-native
Pluchea odorata var. succulenta,non-native
Poa annua,non-native
Poa arida,non-native
Poa bulbosa (including 1 subspecies),non-native
Poa compressa,non-native
Poa nemoralis,non-native
Poa pratensis,non-native
Poa trivialis,non-native
Polanisia jamesii,non-native
Polygonum aviculare (excluding subsp. buxiforme),non-native
Populus alba,non-native
Populus nigra,non-native
Portulaca grandiflora,non-native
Portulaca oleracea,non-native
Potamogeton crispus,non-native
Potentilla argentea,non-native
Potentilla inclinata,non-native
Potentilla intermedia,non-native
Potentilla recta,non-native
Proboscidea louisianica subsp. louisanica,non-native
Prunella vulgaris subsp. vulgaris,non-native
Prunus angustifolia,non-native
Prunus avium,non-native
Prunus cerasus,non-native
Prunus mahaleb,non-native
Prunus padus,non-native
Prunus persica,non-native
Pteris multifida,non-native
Puccinellia distans,non-native
Pueraria montana var. lobata,non-native
Pyracantha coccinea,non-native
Pyrus calleryana,non-native
Pyrus communis,non-native
Quercus acutissima,non-native
Ranunculus acris,non-native
Ranunculus bulbosus,non-native
Ranunculus ficaria,non-native
Ranunculus repens,non-native
Ranunculus sardous,non-native
Raphanus raphanistrum,non-native
Raphanus sativus,non-native
Rapistrum rugosum,non-native
Ratibida columnifera,non-native
Reynoutria japoncia,non-native
Rhamnus arguta,non-native
Rhamnus cathartica,non-native
Rhamnus davurica subsp. nipponica,non-native
Rhamnus utilis,non-native
Rhaponticum repens,non-native
Rheum rhabarbarum,non-native
Rhodotypos scandens,non-native
Ribes aureum var. villosum,non-native
Ribes rubrum,non-native
Ribes uva-crispa,non-native
Richardia scabra,non-native
Ricinus communis,non-native
Robinia hispida (including varieties),non-native
Robinia neomexicana,non-native
Robinia viscosa,non-native
Rorippa sylvestris,non-native
Rosa canina,non-native
Rosa gallica,non-native
Rosa micrantha,non-native
Rosa multiflora,non-native
Rosa rubiginosa,non-native
Rosa spinosissima,non-native
Rottboellia cochinchinensis,non-native
Rubus idaeus subsp. idaeus,non-native
Rubus laciniatus,non-native
Rubus phoenicolasius,non-native
Rumex acetosella,non-native
Rumex crispus,non-native
Rumex hastatulus,non-native
Rumex obtusifolius,non-native
Rumex patientia,non-native
Saccharum ravennae,non-native
Sagina procumbens,non-native
Salix alba,non-native
Salix caprea,non-native
Salix cinerea,non-native
Salix fragilis,non-native
Salix pentandra,non-native
Salix purpurea,non-native
Salix viminalis,non-native
Salix x rubens,non-native
Salsola collina,non-native
Salsola tragus,non-native
Salvia azurea var. grandiflora,non-native
Salvia nemorosa,non-native
Salvia pratensis,non-native
Salvia reflexa,non-native
Salvia verticillata,non-native
Sambucus nigra,non-native
Sanguisorba minor,non-native
Saponaria ocymoides,non-native
Saponaria officinalis,non-native
Satureja hortensis,non-native
Schedonorus arundinaceus (=festuca elatior),non-native
Schedonorus pratensis,non-native
Schoenoplectiella mucronata,non-native
Scilla sibirica,non-native
Scleranthus annuus subsp. annuus,non-native
Sclerochloa dura,non-native
Secale cereale,non-native
Securigera varia (=coronilla varia),non-native
Sedum acre,non-native
Sedum album,non-native
Sedum pulchellum,non-native
Sedum reflexum,non-native
Sedum sarmentosum,non-native
Sedum sexangulare,non-native
Sedum spurium,non-native
Sempervivum tectorum,non-native
Senecio jacobaea,non-native
Senecio vulgaris,non-native
Senna occidentalis,non-native
Setaria faberi,non-native
Setaria italica,non-native
Setaria pumila subsp. pumila,non-native
Setaria verticillata,non-native
Setaria viridis (including 1 variety),non-native
Sherardia arvensis,non-native
Sida spinosa,non-native
Silene armeria,non-native
Silene chlorantha,non-native
Silene coronaria,non-native
Silene csereii,non-native
Silene dichotoma subsp. dichotoma,non-native
Silene dioica (=lychnis dioica),non-native
Silene latifolia (=lychnis alba),non-native
Silene noctiflora,non-native
Silene vulgaris,non-native
Silphium asteriscus var. asteriscus,non-native
Silybum marianum,non-native
Sinapis alba subsp. alba (=brassica hirta),non-native
Sinapis arvensis,non-native
Sisymbrium altissimum,non-native
Sisymbrium loeselii,non-native
Sisymbrium officinale,non-native
Solanum dulcamara,non-native
Solanum elaeagnifolium,non-native
Solanum lycopersicum,non-native
Solanum physalifolium,non-native
Solanum rostratum,non-native
Solanum sarrachoides,non-native
Solidago sempervirens subsp. sempervirens,non-native
